DATA ĐH 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,AUTO,,,,AUTO,,,,,,,,
,,,MÔ TẢ SẢN PHẨM,,,,,,TỈ LỆ SIZE,,,,,,,,,,,,,,,,,THÔNG TIN NHẬP HÀNG,,,,,,,,
STT,PHÂN LOẠI ĐH,PHÂN CẤP SP,TÊN SẢN PHẨM,HÌNH ẢNH,ART/ MÃ SP,Màu,LOẠI SP,CHẤT LIỆU,S / 29,M / 30,L / 31,XL / 32,XXL / 34,SL ĐẶT HÀNG (pcs),"ĐƠN GIÁ
(VNĐ)",TỔNG GIÁ TRỊ,NHÀ MÁY,TIMELINE NHẬP KHO,NGÀY GỬI PO,NGÀY GIAO HÀNG DỰ KIẾN,⚠️ Phân loại đơn hàng,Quý,Tuần,Mã Đơn Đặt Hàng,Trạng Thái,NGÀY NHẬP KHO DỰ KIẾN,NGÀY GIAO THỰC TẾ,SL NHẬP KHO/ Thực tế,% TIẾN ĐỘ NHẬP HÀNG,TRẠNG THÁI GIAO HÀNG,TRẠNG THÁI ĐƠN HÀNG,GHI CHÚ ĐƠN HÀNG,Giá Trị Nhập Hàng thực tế,
21,NEW IN,NEWIN,BASIC SYMBOL,,PO88,NÂU NHẠT,,,,225,225,200,150,800,112.860 đ,90.288.000 đ,TLN,Tháng 3,08/12/2025,19/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,21_PO88_NÂU NHẠT,,20/03/2026,19/03/2026,783,"97,88%",Đúng hạn,Hoàn thành,HOÀN THÀNH,88.369.380 đ,
22,NEW IN,NEWIN,BASIC SYMBOL,,PO88,BE HỒNG,,,,225,225,200,150,800,112.860 đ,90.288.000 đ,TLN,Tháng 3,08/12/2025,20/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,22_PO88_BE HỒNG,,21/03/2026,20/03/2026,751,"93,88%",Đúng hạn,Hoàn thành(thiếu),HOÀN THÀNH,84.757.860 đ,
23,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,BE NHẠT,,,,200,250,150,100,700,112.860 đ,79.002.000 đ,TLN,Tháng 5,08/12/2025,08/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 1,23_PO88_BE NHẠT,Cancel,09/05/2026,,,,Sắp giao hàng,Sắp giao hàng,,,cvc 60/40
24,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,ĐẤT,,,,150,175,100,75,500,107.000 đ,53.500.000 đ,TLN,Tháng 5,"08/12/2025
RV 11/3/26",08/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 1,24_PO88_ĐẤT,Cancel,09/05/2026,,,,Sắp giao hàng,Sắp giao hàng,,,
25,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,XÁM ĐẬM NEW,,,,150,175,100,75,500,107.000 đ,53.500.000 đ,TLN,Tháng 5,"08/12/2025
RV 11/3/26",09/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 1,25_PO88_XÁM ĐẬM NEW,Cancel,10/05/2026,,,,Sắp giao hàng,Sắp giao hàng,,,
26,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,NÂU NHẠT,,,,150,175,100,75,500,107.000 đ,53.500.000 đ,TLN,Tháng 5,"08/12/2025
RV 11/3/26",09/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 1,26_PO88_NÂU NHẠT,Cancel,10/05/2026,,,,Sắp giao hàng,Sắp giao hàng,,,
27,RESTOCK,CHỦ LỰC,BASIC SYMBOL,,PO88,BE HỒNG,,,,150,175,100,75,500,107.000 đ,53.500.000 đ,TLN,Tháng 5,"08/12/2025
RV 11/3/26",14/05/2026,ĐƠN ĐỊNH KỲ,Quý 2,Tuần 2,27_PO88_BE HỒNG,Cancel,15/05/2026,,,,Chưa tới thời hạn giao hàng,Chưa tới thời hạn giao hàng,,,
28,RESTOCK,DUY TRÌ,ASTON PMD31,,PO253,ĐEN 84,,,125,250,175,50,,600,201.528 đ,120.916.800 đ,TLN,Tháng 3,Revised 27/2/2026,10/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 2,28_PO253_ĐEN 84,,11/03/2026,10/03/2026,605,"100,83%",Đúng hạn,Hoàn thành,,121.924.440 đ,GIAO SANG
29,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,TRẮNG,,,,150,175,100,75,500,124.200 đ,62.100.000 đ,AT,Tháng 3,REVISED 24/12/2026,17/03/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,29_PO119_TRẮNG,,18/03/2026,17/03/2026,489,"97,80%",Đúng hạn,Hoàn thành,,60.733.800 đ,
30,RESTOCK,CHỦ LỰC,CLASSIC,,PO119,ĐEN,,,,150,175,100,75,500,124.200 đ,62.100.000 đ,AT,Tháng 4,REVISED 27/2/2026,17/04/2026,ĐƠN ĐỊNH KỲ,Quý 1,Tuần 3,30_PO119_ĐEN,,18/04/2026,17/04/2026,501,"100,20%",Đúng hạn,Hoàn thành,,62.224.200 đ,
